id,exam_name,exam_level,jurisdiction,conducting_body,frequency_per_year,purpose,official_website,eligibility_summary,data_source,source_url,collection_date,confidence_score,verification_status,notes
b57c458b-fb43-4141-aadf-2b55e33c73cf,JEE Main,Undergraduate,National,National Testing Agency (NTA),2,"Admission to NITs, IIITs, GFTIs and centrally funded technical institutes; also the qualifying stage for JEE Advanced (IIT admission)",https://jeemain.nta.nic.in/,"Class 12 (10+2) pass with Physics, Mathematics and Chemistry/Biology; qualifying year 2024, 2025 or 2026; no upper age limit specified by NTA",Official NTA portal; cross-checked via Careers360 and CollegeSearch,https://jeemain.nta.nic.in/,2026-07-21,90,VST-NEEDS_REVIEW,Conducted in two sessions per year (January and April).
9cc89f4c-c736-4e2d-b7cc-bf38a3ad235f,JEE Advanced,Undergraduate,National,Indian Institute of Technology (IIT) -- organizing IIT rotates annually on a zonal basis; IIT Roorkee is the organizing institute for the 2026 cycle,1,Admission to undergraduate/integrated programs at the IITs,https://jeeadv.ac.in/,"Must rank among the top ~2,50,000 qualifiers in JEE Main; passed Class 12 with Physics/Chemistry/Mathematics for the first time in 2025 or 2026; born on or after 1 Oct 2001 (5-yr relaxation for SC/ST/PwD)",Official JEE Advanced portal (jeeadv.ac.in) and Information Brochure PDF,https://jeeadv.ac.in/eligibility.html,2026-07-21,90,VST-NEEDS_REVIEW,Organizing IIT changes every year; verify current-year host institute each cycle.
cba113f2-f9d3-44a1-b1ef-7a36e1bfdc5a,NEET UG,Undergraduate,National,National Testing Agency (NTA),1,Single national entrance test for admission to undergraduate medical courses (MBBS/BDS/AYUSH/veterinary and other allied programs) in India,https://neet.nta.nic.in/,"Must have completed/completing Class 12 with Physics, Chemistry, Biology/Biotechnology and English, with minimum 50% aggregate in PCB (40% SC/ST/OBC, 45% PwD); minimum age 17 by year of admission",Official NTA NEET portal,https://neet.nta.nic.in/about-department/introduction/,2026-07-21,92,VST-NEEDS_REVIEW,
08d97f48-6982-4d21-a506-f904c2a2ccdd,NEET PG,Postgraduate,National,National Board of Examinations in Medical Sciences (NBEMS),1,"Admission to MD, MS, PG Diploma, Post-MBBS DNB, Direct 6-Year DrNB and NBEMS Diploma courses",https://natboard.edu.in/,"MBBS degree with completed compulsory internship; open to Indian citizens, NRIs, OCIs, PIOs and eligible foreign nationals",Official NBEMS/NBE portals (natboard.edu.in / nbe.edu.in) cross-checked via Testbook and Careers360 news coverage,https://natboard.edu.in/,2026-07-21,86,VST-NEEDS_REVIEW,NEET PG 2026 registration opened 1 July 2026; exam scheduled 30 Aug 2026 per NBEMS notification.
145a3357-1dc3-4f70-9fce-fe2aca61ac1c,CUET UG,Undergraduate,National,National Testing Agency (NTA),1,Common entrance test for admission to undergraduate programs at central universities and 200+ participating state/deemed/private universities across India,https://cuet.nta.nic.in/,Passed or appearing in Class 12 (10+2) or equivalent examination; specific subject/marks criteria set by each participating university,Official NTA CUET(UG) portal,https://cuet.nta.nic.in/,2026-07-21,90,VST-NEEDS_REVIEW,
66e51fc1-4286-4b7c-9c04-d2c71cf6cfc1,CUET PG,Postgraduate,National,National Testing Agency (NTA),1,"Common entrance test for admission to postgraduate programs at participating central, state and deemed universities",https://exams.nta.nic.in/cuet-pg/,Bachelor's degree with at least 50% marks (45% for reserved categories); final-year candidates also eligible,Official NTA CUET(PG) exam portal,https://exams.nta.nic.in/cuet-pg/,2026-07-21,87,VST-NEEDS_REVIEW,"CUET PG 2026 covered 157 subjects across ~40 participating universities (35 central, 6 state, 1 deemed) per NTA-linked reporting."
586239fa-de04-40e7-aa06-15204387634a,CLAT (Common Law Admission Test),Undergraduate,National,Consortium of National Law Universities,1,National entrance test for admission to the 5-year integrated LLB (undergraduate) programme and the LLM (postgraduate) programme at 24+ National Law Universities,https://consortiumofnlus.ac.in/,UG: passed/appearing Class 12 with minimum 45% marks (40% SC/ST); no upper age limit. PG (LLM): LLB degree (3-year or 5-year) with minimum 50% marks (45% SC/ST),Official Consortium of NLUs website cross-checked via Careers360 Law and Shiksha,https://www.shiksha.com/law/articles/consortiumofnlus-ac-in-clat-official-website-blogId-188634,2026-07-21,88,VST-NEEDS_REVIEW,Single CLAT exam covers both UG and PG (LLM) admission cycles administered by the same Consortium.
8f917283-055b-4225-b95f-aa8187f199d0,CAT (Common Admission Test),Postgraduate,National,Indian Institute of Management (IIM) -- host IIM rotates annually; IIM Indore is the conducting IIM for the 2026 cycle,1,"Admission to MBA/PGDM programmes at the 22 IIMs and 1,000+ other business schools in India",https://iimcat.ac.in/,Bachelor's degree with minimum 50% marks (45% SC/ST/PwD); final-year students eligible; no age limit,Official CAT portal (iimcat.ac.in) cross-checked via MBAUniverse and Careers360,https://iimcat.ac.in/,2026-07-21,88,VST-NEEDS_REVIEW,Conducting IIM changes annually; verify host institute each cycle.
2cf22b3f-8951-4d94-9716-d276b397835e,GATE (Graduate Aptitude Test in Engineering),Postgraduate,National,"National Coordination Board -- GATE, jointly administered by IISc Bangalore and 7 IITs; organizing institute rotates annually (IIT Guwahati conducted GATE 2026; IIT Madras is the designated organizing institute for GATE 2027, pending official notification)",1,Admission to M.Tech/M.E./direct Ph.D. programmes at IITs/NITs/IIITs/IISc and other institutes; scores also used by many Public Sector Undertakings (PSUs) for recruitment,https://gate.iitm.ac.in/,Currently in or completed final year of a recognized Bachelor's degree in Engineering/Technology/Architecture or equivalent (B.E./B.Tech/B.Arch etc.); no upper age limit,"Cross-checked via multiple education portals (Shiksha, CollegeDekho, Careers360); official 2027 notification not yet published as of collection date",https://engineering.careers360.com/articles/which-iit-will-conduct-gate-2027-check-official-details,2026-07-21,72,VST-NEEDS_REVIEW,GATE 2027 organizing institute (IIT Madras) is reported consistently across sources but had not been confirmed via an official GATE notification/brochure at time of collection; re-verify once the official brochure is released (expected Jul/Aug 2026).
255d7478-de92-4d40-865d-19e5ddb84026,UGC NET,Doctoral/Fellowship,National,National Testing Agency (NTA) on behalf of the University Grants Commission (UGC),2,"Determines eligibility of Indian nationals for award of Junior Research Fellowship (JRF), appointment as Assistant Professor, and/or admission to Ph.D. programmes in Indian universities and colleges",https://ugcnet.nta.nic.in/,"Master's degree with minimum 55% marks (50% for reserved categories) from a UGC-recognized university, or final-year Master's students",Official NTA UGC-NET portal,https://ugcnet.nta.nic.in/,2026-07-21,90,VST-NEEDS_REVIEW,"Conducted in Computer Based Test mode; historically run in two cycles per year (e.g., June and December sessions)."
