revenue_division_id,revenue_division_ref,revenue_division_name,district_name,dist_ref,state_code,divisional_headquarters,mandal_count,mandal_count_source_detail,lgd_code,latitude,longitude,data_source,source_url,collection_date,last_verified_date,confidence_score,verification_status,reviewer,version,license,attribution,created_by,created_at,updated_at,is_active
8fecf133-0591-491e-ae28-1f025091baa2,TG-ADB-RD-1,Adilabad,Adilabad,ADB,TG,Adilabad,PENDING_VERIFICATION,Not yet independently verified — table-level district mandal_count exists in the District dataset but is not sub-divided by revenue division,PENDING_VERIFICATION,PENDING_GEOCODING,PENDING_GEOCODING,"Wikipedia 'List of revenue divisions in Telangana', compiling: Telangana State Portal (State Profile), Chief Commissioner of Land Administration (ccla.telangana.gov.in), and individual District Revenue Department notifications",https://en.wikipedia.org/wiki/List_of_revenue_divisions_in_Telangana,2026-07-19,2026-07-19,82,VST-NEEDS_REVIEW,ValueWeave Data Factory (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,CC BY-SA 4.0 (Wikipedia compilation); underlying Government of Telangana source license not independently reconfirmed this pass,"Government of Telangana, Chief Commissioner of Land Administration; compiled via Wikipedia contributors",vw_data_factory,2026-07-19T06:44:32.573319Z,2026-07-19T06:44:32.573319Z,TRUE
db26d79d-23a4-472d-92f1-85aff6da14e0,TG-ADB-RD-2,Utnoor,Adilabad,ADB,TG,Utnoor,PENDING_VERIFICATION,Not yet independently verified — table-level district mandal_count exists in the District dataset but is not sub-divided by revenue division,PENDING_VERIFICATION,PENDING_GEOCODING,PENDING_GEOCODING,"Wikipedia 'List of revenue divisions in Telangana', compiling: Telangana State Portal (State Profile), Chief Commissioner of Land Administration (ccla.telangana.gov.in), and individual District Revenue Department notifications",https://en.wikipedia.org/wiki/List_of_revenue_divisions_in_Telangana,2026-07-19,2026-07-19,82,VST-NEEDS_REVIEW,ValueWeave Data Factory (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,CC BY-SA 4.0 (Wikipedia compilation); underlying Government of Telangana source license not independently reconfirmed this pass,"Government of Telangana, Chief Commissioner of Land Administration; compiled via Wikipedia contributors",vw_data_factory,2026-07-19T06:44:32.573319Z,2026-07-19T06:44:32.573319Z,TRUE
597029b9-5d36-4242-a664-553b8930a020,TG-BKG-RD-1,Kothagudem,Bhadradri Kothagudem,BKG,TG,Kothagudem,PENDING_VERIFICATION,Not yet independently verified — table-level district mandal_count exists in the District dataset but is not sub-divided by revenue division,PENDING_VERIFICATION,PENDING_GEOCODING,PENDING_GEOCODING,"Wikipedia 'List of revenue divisions in Telangana', compiling: Telangana State Portal (State Profile), Chief Commissioner of Land Administration (ccla.telangana.gov.in), and individual District Revenue Department notifications",https://en.wikipedia.org/wiki/List_of_revenue_divisions_in_Telangana,2026-07-19,2026-07-19,82,VST-NEEDS_REVIEW,ValueWeave Data Factory (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,CC BY-SA 4.0 (Wikipedia compilation); underlying Government of Telangana source license not independently reconfirmed this pass,"Government of Telangana, Chief Commissioner of Land Administration; compiled via Wikipedia contributors",vw_data_factory,2026-07-19T06:44:32.573319Z,2026-07-19T06:44:32.573319Z,TRUE
61c5196c-a49a-4e8a-be8b-1e3de35ac691,TG-BKG-RD-2,Bhadrachalam,Bhadradri Kothagudem,BKG,TG,Bhadrachalam,8,Directly verified via dedicated Wikipedia revenue-division page (this session),PENDING_VERIFICATION,PENDING_GEOCODING,PENDING_GEOCODING,"Wikipedia 'List of revenue divisions in Telangana', compiling: Telangana State Portal (State Profile), Chief Commissioner of Land Administration (ccla.telangana.gov.in), and individual District Revenue Department notifications",https://en.wikipedia.org/wiki/List_of_revenue_divisions_in_Telangana,2026-07-19,2026-07-19,90,VST-NEEDS_REVIEW,ValueWeave Data Factory (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,CC BY-SA 4.0 (Wikipedia compilation); underlying Government of Telangana source license not independently reconfirmed this pass,"Government of Telangana, Chief Commissioner of Land Administration; compiled via Wikipedia contributors",vw_data_factory,2026-07-19T06:44:32.573319Z,2026-07-19T06:44:32.573319Z,TRUE
97f25692-c5f9-41a0-b401-0bc36baa5463,TG-HNK-RD-1,Hanmakonda,Hanmakonda,HNK,TG,Hanmakonda,PENDING_VERIFICATION,Not yet independently verified — table-level district mandal_count exists in the District dataset but is not sub-divided by revenue division,PENDING_VERIFICATION,PENDING_GEOCODING,PENDING_GEOCODING,"Wikipedia 'List of revenue divisions in Telangana', compiling: Telangana State Portal (State Profile), Chief Commissioner of Land Administration (ccla.telangana.gov.in), and individual District Revenue Department notifications",https://en.wikipedia.org/wiki/List_of_revenue_divisions_in_Telangana,2026-07-19,2026-07-19,82,VST-NEEDS_REVIEW,ValueWeave Data Factory (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,CC BY-SA 4.0 (Wikipedia compilation); underlying Government of Telangana source license not independently reconfirmed this pass,"Government of Telangana, Chief Commissioner of Land Administration; compiled via Wikipedia contributors",vw_data_factory,2026-07-19T06:44:32.573319Z,2026-07-19T06:44:32.573319Z,TRUE
a4ee91e2-1977-43ce-8284-ee04f85b07e4,TG-HNK-RD-2,Parkal,Hanmakonda,HNK,TG,Parkal,PENDING_VERIFICATION,Not yet independently verified — table-level district mandal_count exists in the District dataset but is not sub-divided by revenue division,PENDING_VERIFICATION,PENDING_GEOCODING,PENDING_GEOCODING,"Wikipedia 'List of revenue divisions in Telangana', compiling: Telangana State Portal (State Profile), Chief Commissioner of Land Administration (ccla.telangana.gov.in), and individual District Revenue Department notifications",https://en.wikipedia.org/wiki/List_of_revenue_divisions_in_Telangana,2026-07-19,2026-07-19,82,VST-NEEDS_REVIEW,ValueWeave Data Factory (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,CC BY-SA 4.0 (Wikipedia compilation); underlying Government of Telangana source license not independently reconfirmed this pass,"Government of Telangana, Chief Commissioner of Land Administration; compiled via Wikipedia contributors",vw_data_factory,2026-07-19T06:44:32.573319Z,2026-07-19T06:44:32.573319Z,TRUE
ea5b4fd7-a4e6-4f40-9981-b5896264c6b3,TG-HYD-RD-1,Hyderabad,Hyderabad,HYD,TG,Hyderabad,PENDING_VERIFICATION,Not yet independently verified — table-level district mandal_count exists in the District dataset but is not sub-divided by revenue division,PENDING_VERIFICATION,PENDING_GEOCODING,PENDING_GEOCODING,"Wikipedia 'List of revenue divisions in Telangana', compiling: Telangana State Portal (State Profile), Chief Commissioner of Land Administration (ccla.telangana.gov.in), and individual District Revenue Department notifications",https://en.wikipedia.org/wiki/List_of_revenue_divisions_in_Telangana,2026-07-19,2026-07-19,82,VST-NEEDS_REVIEW,ValueWeave Data Factory (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,CC BY-SA 4.0 (Wikipedia compilation); underlying Government of Telangana source license not independently reconfirmed this pass,"Government of Telangana, Chief Commissioner of Land Administration; compiled via Wikipedia contributors",vw_data_factory,2026-07-19T06:44:32.573319Z,2026-07-19T06:44:32.573319Z,TRUE
ccd965a9-269f-4af9-87c6-9729ba445b07,TG-HYD-RD-2,Secunderabad,Hyderabad,HYD,TG,Secunderabad,PENDING_VERIFICATION,Not yet independently verified — table-level district mandal_count exists in the District dataset but is not sub-divided by revenue division,PENDING_VERIFICATION,PENDING_GEOCODING,PENDING_GEOCODING,"Wikipedia 'List of revenue divisions in Telangana', compiling: Telangana State Portal (State Profile), Chief Commissioner of Land Administration (ccla.telangana.gov.in), and individual District Revenue Department notifications",https://en.wikipedia.org/wiki/List_of_revenue_divisions_in_Telangana,2026-07-19,2026-07-19,82,VST-NEEDS_REVIEW,ValueWeave Data Factory (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,CC BY-SA 4.0 (Wikipedia compilation); underlying Government of Telangana source license not independently reconfirmed this pass,"Government of Telangana, Chief Commissioner of Land Administration; compiled via Wikipedia contributors",vw_data_factory,2026-07-19T06:44:32.573319Z,2026-07-19T06:44:32.573319Z,TRUE
4bf1a86d-df9c-4010-9aff-040326e69056,TG-JGT-RD-1,Jagtial,Jagtial,JGT,TG,Jagtial,PENDING_VERIFICATION,Not yet independently verified — table-level district mandal_count exists in the District dataset but is not sub-divided by revenue division,PENDING_VERIFICATION,PENDING_GEOCODING,PENDING_GEOCODING,"Wikipedia 'List of revenue divisions in Telangana', compiling: Telangana State Portal (State Profile), Chief Commissioner of Land Administration (ccla.telangana.gov.in), and individual District Revenue Department notifications",https://en.wikipedia.org/wiki/List_of_revenue_divisions_in_Telangana,2026-07-19,2026-07-19,82,VST-NEEDS_REVIEW,ValueWeave Data Factory (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,CC BY-SA 4.0 (Wikipedia compilation); underlying Government of Telangana source license not independently reconfirmed this pass,"Government of Telangana, Chief Commissioner of Land Administration; compiled via Wikipedia contributors",vw_data_factory,2026-07-19T06:44:32.573319Z,2026-07-19T06:44:32.573319Z,TRUE
7d00295a-e6a6-4bdb-afb2-2dfd46bea0b2,TG-JGT-RD-2,Korutla,Jagtial,JGT,TG,Korutla,PENDING_VERIFICATION,Not yet independently verified — table-level district mandal_count exists in the District dataset but is not sub-divided by revenue division,PENDING_VERIFICATION,PENDING_GEOCODING,PENDING_GEOCODING,"Wikipedia 'List of revenue divisions in Telangana', compiling: Telangana State Portal (State Profile), Chief Commissioner of Land Administration (ccla.telangana.gov.in), and individual District Revenue Department notifications",https://en.wikipedia.org/wiki/List_of_revenue_divisions_in_Telangana,2026-07-19,2026-07-19,82,VST-NEEDS_REVIEW,ValueWeave Data Factory (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,CC BY-SA 4.0 (Wikipedia compilation); underlying Government of Telangana source license not independently reconfirmed this pass,"Government of Telangana, Chief Commissioner of Land Administration; compiled via Wikipedia contributors",vw_data_factory,2026-07-19T06:44:32.573319Z,2026-07-19T06:44:32.573319Z,TRUE
