dist_id,dist_ref,district_name,st_id,govt_district_code,lgd_district_code,district_headquarters,area_sq_km,population,population_source_detail,mandal_count,revenue_divisions,density_per_sq_km,urban_pct,literacy_rate_pct,sex_ratio,latitude,longitude,district_gdp_inr_cr,primary_industry_sector_id,district_readiness_score,data_source,source_url,collection_date,last_verified_date,confidence_score,verification_status,reviewer,version,created_by,created_at,updated_at,is_active
a0248e18-5e38-4b14-8c0b-dfa7105971dd,TG-ADB,Adilabad,ea529eee-b05d-46b5-b556-c0b70c8e2186,PENDING_VERIFICATION,PENDING_VERIFICATION,Adilabad,4153,708972,Census of India 2011 (via Telangana State Portal / Wikipedia compilation),18,PENDING_VERIFICATION,171,23.66,63.46,978,PENDING_GEOCODING,PENDING_GEOCODING,PENDING_VERIFICATION,PENDING_VERIFICATION,"NOT_APPLICABLE_AT_COLLECTION_STAGE (AI-derived field — Profile P5, computed post-ingestion)","Telangana State Portal (telangana.gov.in/about/districts) for district list/HQ; Census of India 2011 for population/literacy/urban%/sex ratio (both via Wikipedia's compiled, footnoted table)",https://en.wikipedia.org/wiki/List_of_districts_of_Telangana,2026-07-18,2026-07-18,88,VST-NEEDS_REVIEW,ValueWeave Data Collection Engine (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,vw_data_collection_engine,2026-07-18T17:06:27.604709Z,2026-07-18T17:06:27.604709Z,TRUE
5eedf97f-f311-4ec9-ac9e-03da47fde723,TG-KBA,Kumuram Bheem Asifabad,ea529eee-b05d-46b5-b556-c0b70c8e2186,PENDING_VERIFICATION,PENDING_VERIFICATION,Asifabad,4878,515812,Census of India 2011 (via Telangana State Portal / Wikipedia compilation),15,PENDING_VERIFICATION,106,16.86,56.72,998,PENDING_GEOCODING,PENDING_GEOCODING,PENDING_VERIFICATION,PENDING_VERIFICATION,"NOT_APPLICABLE_AT_COLLECTION_STAGE (AI-derived field — Profile P5, computed post-ingestion)","Telangana State Portal (telangana.gov.in/about/districts) for district list/HQ; Census of India 2011 for population/literacy/urban%/sex ratio (both via Wikipedia's compiled, footnoted table)",https://en.wikipedia.org/wiki/List_of_districts_of_Telangana,2026-07-18,2026-07-18,88,VST-NEEDS_REVIEW,ValueWeave Data Collection Engine (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,vw_data_collection_engine,2026-07-18T17:06:27.604709Z,2026-07-18T17:06:27.604709Z,TRUE
24e7d017-1120-4f39-b6e3-8eb6c8f93e82,TG-MCL,Mancherial,ea529eee-b05d-46b5-b556-c0b70c8e2186,PENDING_VERIFICATION,PENDING_VERIFICATION,Mancherial,4016,807037,Census of India 2011 (via Telangana State Portal / Wikipedia compilation),18,PENDING_VERIFICATION,201,43.85,64.35,977,PENDING_GEOCODING,PENDING_GEOCODING,PENDING_VERIFICATION,PENDING_VERIFICATION,"NOT_APPLICABLE_AT_COLLECTION_STAGE (AI-derived field — Profile P5, computed post-ingestion)","Telangana State Portal (telangana.gov.in/about/districts) for district list/HQ; Census of India 2011 for population/literacy/urban%/sex ratio (both via Wikipedia's compiled, footnoted table)",https://en.wikipedia.org/wiki/List_of_districts_of_Telangana,2026-07-18,2026-07-18,88,VST-NEEDS_REVIEW,ValueWeave Data Collection Engine (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,vw_data_collection_engine,2026-07-18T17:06:27.604709Z,2026-07-18T17:06:27.604709Z,TRUE
1b1a69fd-b7d2-4547-9898-fef4ae0f28ec,TG-NRM,Nirmal,ea529eee-b05d-46b5-b556-c0b70c8e2186,PENDING_VERIFICATION,PENDING_VERIFICATION,Nirmal,3845,709418,Census of India 2011 (via Telangana State Portal / Wikipedia compilation),19,PENDING_VERIFICATION,185,21.38,57.77,1046,PENDING_GEOCODING,PENDING_GEOCODING,PENDING_VERIFICATION,PENDING_VERIFICATION,"NOT_APPLICABLE_AT_COLLECTION_STAGE (AI-derived field — Profile P5, computed post-ingestion)","Telangana State Portal (telangana.gov.in/about/districts) for district list/HQ; Census of India 2011 for population/literacy/urban%/sex ratio (both via Wikipedia's compiled, footnoted table)",https://en.wikipedia.org/wiki/List_of_districts_of_Telangana,2026-07-18,2026-07-18,88,VST-NEEDS_REVIEW,ValueWeave Data Collection Engine (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,vw_data_collection_engine,2026-07-18T17:06:27.604709Z,2026-07-18T17:06:27.604709Z,TRUE
b6fb561d-e551-4b7a-b15b-6f81e5a3ec20,TG-NZB,Nizamabad,ea529eee-b05d-46b5-b556-c0b70c8e2186,PENDING_VERIFICATION,PENDING_VERIFICATION,Nizamabad,4288,1571022,Census of India 2011 (via Telangana State Portal / Wikipedia compilation),27,PENDING_VERIFICATION,366,29.58,64.25,1044,PENDING_GEOCODING,PENDING_GEOCODING,PENDING_VERIFICATION,PENDING_VERIFICATION,"NOT_APPLICABLE_AT_COLLECTION_STAGE (AI-derived field — Profile P5, computed post-ingestion)","Telangana State Portal (telangana.gov.in/about/districts) for district list/HQ; Census of India 2011 for population/literacy/urban%/sex ratio (both via Wikipedia's compiled, footnoted table)",https://en.wikipedia.org/wiki/List_of_districts_of_Telangana,2026-07-18,2026-07-18,88,VST-NEEDS_REVIEW,ValueWeave Data Collection Engine (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,vw_data_collection_engine,2026-07-18T17:06:27.604709Z,2026-07-18T17:06:27.604709Z,TRUE
3606f526-a8fe-4eee-892c-ca996b59b03e,TG-JGT,Jagtial,ea529eee-b05d-46b5-b556-c0b70c8e2186,PENDING_VERIFICATION,PENDING_VERIFICATION,Jagtial,2419,985417,Census of India 2011 (via Telangana State Portal / Wikipedia compilation),18,PENDING_VERIFICATION,407,22.46,60.26,1036,PENDING_GEOCODING,PENDING_GEOCODING,PENDING_VERIFICATION,PENDING_VERIFICATION,"NOT_APPLICABLE_AT_COLLECTION_STAGE (AI-derived field — Profile P5, computed post-ingestion)","Telangana State Portal (telangana.gov.in/about/districts) for district list/HQ; Census of India 2011 for population/literacy/urban%/sex ratio (both via Wikipedia's compiled, footnoted table)",https://en.wikipedia.org/wiki/List_of_districts_of_Telangana,2026-07-18,2026-07-18,88,VST-NEEDS_REVIEW,ValueWeave Data Collection Engine (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,vw_data_collection_engine,2026-07-18T17:06:27.604709Z,2026-07-18T17:06:27.604709Z,TRUE
e17d2fa9-1dfa-4d56-83d5-9f962d6e3469,TG-PDP,Peddapalli,ea529eee-b05d-46b5-b556-c0b70c8e2186,PENDING_VERIFICATION,PENDING_VERIFICATION,Peddapalli,2236,795332,Census of India 2011 (via Telangana State Portal / Wikipedia compilation),14,PENDING_VERIFICATION,356,38.22,65.52,992,PENDING_GEOCODING,PENDING_GEOCODING,PENDING_VERIFICATION,PENDING_VERIFICATION,"NOT_APPLICABLE_AT_COLLECTION_STAGE (AI-derived field — Profile P5, computed post-ingestion)","Telangana State Portal (telangana.gov.in/about/districts) for district list/HQ; Census of India 2011 for population/literacy/urban%/sex ratio (both via Wikipedia's compiled, footnoted table)",https://en.wikipedia.org/wiki/List_of_districts_of_Telangana,2026-07-18,2026-07-18,88,VST-NEEDS_REVIEW,ValueWeave Data Collection Engine (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,vw_data_collection_engine,2026-07-18T17:06:27.604709Z,2026-07-18T17:06:27.604709Z,TRUE
e08443e2-2ae2-4e3b-a41d-68c06063d269,TG-KMR,Kamareddy,ea529eee-b05d-46b5-b556-c0b70c8e2186,PENDING_VERIFICATION,PENDING_VERIFICATION,Kamareddy,3652,972625,Census of India 2011 (via Telangana State Portal / Wikipedia compilation),22,PENDING_VERIFICATION,266,12.71,56.51,1033,PENDING_GEOCODING,PENDING_GEOCODING,PENDING_VERIFICATION,PENDING_VERIFICATION,"NOT_APPLICABLE_AT_COLLECTION_STAGE (AI-derived field — Profile P5, computed post-ingestion)","Telangana State Portal (telangana.gov.in/about/districts) for district list/HQ; Census of India 2011 for population/literacy/urban%/sex ratio (both via Wikipedia's compiled, footnoted table)",https://en.wikipedia.org/wiki/List_of_districts_of_Telangana,2026-07-18,2026-07-18,88,VST-NEEDS_REVIEW,ValueWeave Data Collection Engine (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,vw_data_collection_engine,2026-07-18T17:06:27.604709Z,2026-07-18T17:06:27.604709Z,TRUE
165eaf89-5d17-4efa-b5d8-6909d8f0e84f,TG-RSL,Rajanna Sircilla,ea529eee-b05d-46b5-b556-c0b70c8e2186,PENDING_VERIFICATION,PENDING_VERIFICATION,Sircilla,2019,552037,Census of India 2011 (via Telangana State Portal / Wikipedia compilation),13,PENDING_VERIFICATION,273,21.17,62.71,1014,PENDING_GEOCODING,PENDING_GEOCODING,PENDING_VERIFICATION,PENDING_VERIFICATION,"NOT_APPLICABLE_AT_COLLECTION_STAGE (AI-derived field — Profile P5, computed post-ingestion)","Telangana State Portal (telangana.gov.in/about/districts) for district list/HQ; Census of India 2011 for population/literacy/urban%/sex ratio (both via Wikipedia's compiled, footnoted table)",https://en.wikipedia.org/wiki/List_of_districts_of_Telangana,2026-07-18,2026-07-18,88,VST-NEEDS_REVIEW,ValueWeave Data Collection Engine (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,vw_data_collection_engine,2026-07-18T17:06:27.604709Z,2026-07-18T17:06:27.604709Z,TRUE
086394be-1e67-4761-a069-e9d2dd6f7bd0,TG-KRM,Karimnagar,ea529eee-b05d-46b5-b556-c0b70c8e2186,PENDING_VERIFICATION,PENDING_VERIFICATION,Karimnagar,2128,1005711,Census of India 2011 (via Telangana State Portal / Wikipedia compilation),16,PENDING_VERIFICATION,473,30.72,69.16,993,PENDING_GEOCODING,PENDING_GEOCODING,PENDING_VERIFICATION,PENDING_VERIFICATION,"NOT_APPLICABLE_AT_COLLECTION_STAGE (AI-derived field — Profile P5, computed post-ingestion)","Telangana State Portal (telangana.gov.in/about/districts) for district list/HQ; Census of India 2011 for population/literacy/urban%/sex ratio (both via Wikipedia's compiled, footnoted table)",https://en.wikipedia.org/wiki/List_of_districts_of_Telangana,2026-07-18,2026-07-18,88,VST-NEEDS_REVIEW,ValueWeave Data Collection Engine (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,vw_data_collection_engine,2026-07-18T17:06:27.604709Z,2026-07-18T17:06:27.604709Z,TRUE
9fed3cf2-18e0-4c2d-9355-80d3b34b1ebd,TG-JSB,Jayashankar Bhupalpally,ea529eee-b05d-46b5-b556-c0b70c8e2186,PENDING_VERIFICATION,PENDING_VERIFICATION,Bhupalpally,2293,416763,Census of India 2011 (via Telangana State Portal / Wikipedia compilation),12,PENDING_VERIFICATION,180,7.57,58.97,1009,PENDING_GEOCODING,PENDING_GEOCODING,PENDING_VERIFICATION,PENDING_VERIFICATION,"NOT_APPLICABLE_AT_COLLECTION_STAGE (AI-derived field — Profile P5, computed post-ingestion)","Telangana State Portal (telangana.gov.in/about/districts) for district list/HQ; Census of India 2011 for population/literacy/urban%/sex ratio (both via Wikipedia's compiled, footnoted table)",https://en.wikipedia.org/wiki/List_of_districts_of_Telangana,2026-07-18,2026-07-18,88,VST-NEEDS_REVIEW,ValueWeave Data Collection Engine (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,vw_data_collection_engine,2026-07-18T17:06:27.604709Z,2026-07-18T17:06:27.604709Z,TRUE
13bb4a71-c81b-4eb8-8d27-59bf21d96c85,TG-SNG,Sangareddy,ea529eee-b05d-46b5-b556-c0b70c8e2186,PENDING_VERIFICATION,PENDING_VERIFICATION,Sangareddy,4403,1527628,Census of India 2011 (via Telangana State Portal / Wikipedia compilation),26,PENDING_VERIFICATION,347,34.69,64.08,965,PENDING_GEOCODING,PENDING_GEOCODING,PENDING_VERIFICATION,PENDING_VERIFICATION,"NOT_APPLICABLE_AT_COLLECTION_STAGE (AI-derived field — Profile P5, computed post-ingestion)","Telangana State Portal (telangana.gov.in/about/districts) for district list/HQ; Census of India 2011 for population/literacy/urban%/sex ratio (both via Wikipedia's compiled, footnoted table)",https://en.wikipedia.org/wiki/List_of_districts_of_Telangana,2026-07-18,2026-07-18,88,VST-NEEDS_REVIEW,ValueWeave Data Collection Engine (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,vw_data_collection_engine,2026-07-18T17:06:27.604709Z,2026-07-18T17:06:27.604709Z,TRUE
3a1a968d-5bd8-433b-8b99-5d2b04b69269,TG-MDK,Medak,ea529eee-b05d-46b5-b556-c0b70c8e2186,PENDING_VERIFICATION,PENDING_VERIFICATION,Medak,2786,767428,Census of India 2011 (via Telangana State Portal / Wikipedia compilation),20,PENDING_VERIFICATION,275,7.67,56.12,1027,PENDING_GEOCODING,PENDING_GEOCODING,PENDING_VERIFICATION,PENDING_VERIFICATION,"NOT_APPLICABLE_AT_COLLECTION_STAGE (AI-derived field — Profile P5, computed post-ingestion)","Telangana State Portal (telangana.gov.in/about/districts) for district list/HQ; Census of India 2011 for population/literacy/urban%/sex ratio (both via Wikipedia's compiled, footnoted table)",https://en.wikipedia.org/wiki/List_of_districts_of_Telangana,2026-07-18,2026-07-18,88,VST-NEEDS_REVIEW,ValueWeave Data Collection Engine (AI-assisted) — PENDING human Data Steward sign-off,1.0.0-draft,vw_data_collection_engine,2026-07-18T17:06:27.604709Z,2026-07-18T17:06:27.604709Z,TRUE
