domain_package,domain_dataset,domain_row_id,domain_scheme_name,package007_scheme_id,package007_scheme_name,scheme_ownership,match_method,match_score
Package002_Education,scholarships.csv,7cec84a2-0477-4c50-8ee0-dcfcb1a0fa39,National Means-cum-Merit Scholarship Scheme (NMMSS),sch-025,National Means-cum-Merit Scholarship Scheme,DEPRECATED_REFERENCE,EXACT_NAME,1.0
Package002_Education,scholarships.csv,83c31166-3a09-4082-9750-88e97cdccc3f,Central Sector Scheme of Scholarships (CSSS) for College and University Students,sch-026,Central Sector Scheme of Scholarships for College and University Students,DEPRECATED_REFERENCE,EXACT_NAME,1.0
Package002_Education,scholarships.csv,6c56cd07-0881-4798-9aa6-09db9b565e5e,AICTE Pragati Scholarship for Girls,PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.269
Package002_Education,scholarships.csv,89e09809-5fa0-4a59-9404-22e96cb6a018,AICTE Saksham Scholarship for Specially Abled Students,PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.3766
Package002_Education,scholarships.csv,370ecaeb-8f64-4a83-861e-68c838707bae,INSPIRE Scholarship - Scholarship for Higher Education (SHE),PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.2744
Package002_Education,scholarships.csv,16527b60-0af2-4aa4-a17a-3c4490bf52f1,Prime Minister's Scholarship Scheme (PMSS) for Wards of Ex-Servicemen/Ex-Coast Guard,PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.3428
Package002_Education,scholarships.csv,a3ceb40e-0520-460c-8161-37ae108bd673,National Fellowship for Scheduled Caste Students (NFSC),PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.5611
Package002_Education,scholarships.csv,03b67238-27db-41dc-a6fe-f79188416ecd,National Overseas Scholarship (NOS) for SC etc. Candidates,PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.3133
Package002_Education,scholarships.csv,a15db115-5f7f-4e10-b023-1ca8fb827cd6,Top Class Education Scheme for SC Students,PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.2728
Package002_Education,scholarships.csv,62a934be-b68d-4d7e-8658-80d3f2e69d46,Post-Matric Scholarship for Minorities,PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.5327
Package002_Education,scholarships.csv,7b3b63b2-bd52-4dec-888c-0c54b8dd71a2,Merit-cum-Means Scholarship for Minorities,PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.7059
Package002_Education,scholarships.csv,ac4a8392-851b-4d36-b6c3-a87b25952454,PM YASASVI (PM Young Achievers Scholarship Award Scheme for Vibrant India),sch-027,PM Young Achievers Scholarship Award Scheme for Vibrant India,DEPRECATED_REFERENCE,PORTAL,1.0
Package002_Education,scholarships.csv,1941aece-7903-4301-9ab3-c5a485eed3d8,National Fellowship for Higher Education of ST Students (NFST),PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.2918
Package002_Education,scholarships.csv,b5a5b898-269f-47c4-b4be-141745cf81ad,Top Class Education Scheme for ST Students,PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.2728
Package002_Education,scholarships.csv,671ec614-6fa5-45b1-a07c-b8f7baacdc0c,National Fellowship for Persons with Disabilities (NFPwD),PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.1818
Package002_Education,scholarships.csv,a937aa97-dfa9-46bd-84e6-7c0d0a8cf06e,Telangana ePASS Pre-Matric Scholarship,PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.3111
Package002_Education,scholarships.csv,0a1ece94-1a4a-4d10-beaa-cf28da0e4fba,Telangana ePASS Post-Matric Scholarship,PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.4272
Package002_Education,scholarships.csv,8b8deb8b-d1d6-4883-ae8c-f1128281cd29,Dr. B.R. Ambedkar Overseas Vidya Nidhi (Telangana - SC/ST),PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.2174
Package002_Education,scholarships.csv,7b98c565-0ae7-432a-aff1-9d95e44f5620,Mahatma Jyotiba Phule Overseas Vidya Nidhi (Telangana - BC/EBC),PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.1923
Package002_Education,scholarships.csv,e9de92db-1955-4301-9e32-505d1a551a4e,Telangana Chief Minister's Overseas Scholarship Scheme for Minorities,PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.2838
Package002_Education,scholarships.csv,bd3d9208-46be-4c35-a284-0cf35c5972ea,AP Post-Matric Scholarship (RTF & MTF) - formerly Jagananna Vidya Deevena / Jagananna Vasathi Deevena,PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.3602
Package002_Education,scholarships.csv,12d3acee-e3f1-46c3-9320-08825d0ade31,AP Pre-Matric Scholarship,PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.3578
Package002_Education,scholarships.csv,cf4f9ba1-f891-4a9f-adf3-6d592eb0afa9,AP Ambedkar Overseas Vidya Nidhi,PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.2211
Package002_Education,scholarships.csv,619f6700-6448-42c3-bbc1-04f12c0567be,NTR Videshi Vidyadharana (formerly part of Jagananna Videshi Vidya Deevena),PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.1935
Package002_Education,scholarships.csv,e3893a2c-628f-4bbc-9e07-419b53752229,NTR Vidyonnathi Scheme (formerly YSR Vidyonnathi Scheme),PENDING_VERIFICATION,PENDING_VERIFICATION,DOMAIN_CANONICAL,NO_MATCH,0.2233
