relationship_id,from_entity,relationship_type,to_entity,confidence,provenance_package,provenance_dataset,provenance_row_id,derived_at,notes
vwr:000001,vw:district:adilabad,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,a0248e18-5e38-4b14-8c0b-dfa7105971dd,2026-08-28,
vwr:000002,vw:district:kumuram-bheem-asifabad,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,5eedf97f-f311-4ec9-ac9e-03da47fde723,2026-08-28,
vwr:000003,vw:district:mancherial,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,24e7d017-1120-4f39-b6e3-8eb6c8f93e82,2026-08-28,
vwr:000004,vw:district:nirmal,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,1b1a69fd-b7d2-4547-9898-fef4ae0f28ec,2026-08-28,
vwr:000005,vw:district:nizamabad,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,b6fb561d-e551-4b7a-b15b-6f81e5a3ec20,2026-08-28,
vwr:000006,vw:district:jagtial,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,3606f526-a8fe-4eee-892c-ca996b59b03e,2026-08-28,
vwr:000007,vw:district:peddapalli,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,e17d2fa9-1dfa-4d56-83d5-9f962d6e3469,2026-08-28,
vwr:000008,vw:district:kamareddy,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,e08443e2-2ae2-4e3b-a41d-68c06063d269,2026-08-28,
vwr:000009,vw:district:rajanna-sircilla,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,165eaf89-5d17-4efa-b5d8-6909d8f0e84f,2026-08-28,
vwr:000010,vw:district:karimnagar,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,086394be-1e67-4761-a069-e9d2dd6f7bd0,2026-08-28,
vwr:000011,vw:district:jayashankar-bhupalpally,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,9fed3cf2-18e0-4c2d-9355-80d3b34b1ebd,2026-08-28,
vwr:000012,vw:district:sangareddy,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,13bb4a71-c81b-4eb8-8d27-59bf21d96c85,2026-08-28,
vwr:000013,vw:district:medak,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,3a1a968d-5bd8-433b-8b99-5d2b04b69269,2026-08-28,
vwr:000014,vw:district:siddipet,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,d764f4a1-46b2-4a6b-915a-a39fda0a4cb5,2026-08-28,
vwr:000015,vw:district:jangaon,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,681ac702-6fec-4db9-bac5-1e06183fa4ed,2026-08-28,
vwr:000016,vw:district:hanumakonda,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,b53a2b5f-f3fe-4b18-82ee-893431e3579c,2026-08-28,
vwr:000017,vw:district:warangal,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,479e0ee3-c2bf-404c-b3fa-f3bc106aff50,2026-08-28,
vwr:000018,vw:district:mulugu,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,ab5c6cd0-4983-46bb-8ca1-18ec2e543843,2026-08-28,
vwr:000019,vw:district:bhadradri-kothagudem,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,71ae6871-0548-4995-8bdc-82ffb8894157,2026-08-28,
vwr:000020,vw:district:khammam,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,be21fb05-1905-4012-b551-90e8d2d8eddb,2026-08-28,
vwr:000021,vw:district:mahabubabad,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,7abca5e0-8c8c-4ad9-9557-8765700d9b92,2026-08-28,
vwr:000022,vw:district:suryapet,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,031f932a-8114-46ad-8b13-854d1bb0cc75,2026-08-28,
vwr:000023,vw:district:nalgonda,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,0cb70c34-070b-4d0b-904a-562214df7d76,2026-08-28,
vwr:000024,vw:district:yadadri-bhuvanagiri,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,81165142-90a8-4e0f-9ea2-dbbe6eff1702,2026-08-28,
vwr:000025,vw:district:medchal-malkajgiri,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,26232aa3-0bcb-4082-93dd-724331f31f8a,2026-08-28,
vwr:000026,vw:district:hyderabad,LOCATED_IN,vw:state:telangana,88,Package001_Geography,district.csv,3047ff5d-7947-489e-9b85-74ba0197be66,2026-08-28,
