relationship_type,source_package,source_dataset,source_row_id,reason
REQUIRES_SKILL,Package008_MSME,skill_mapping.csv,kmap-027,Package006 has no skill record for this requirement
REQUIRES_SKILL,Package008_MSME,skill_mapping.csv,kmap-043,Package006 has no skill record for this requirement
REQUIRES_SKILL,Package008_MSME,skill_mapping.csv,kmap-046,Package006 has no skill record for this requirement
REQUIRES_SKILL,Package008_MSME,skill_mapping.csv,kmap-047,Package006 has no skill record for this requirement
REQUIRES_SKILL,Package008_MSME,skill_mapping.csv,kmap-048,Package006 has no skill record for this requirement
REQUIRES_SKILL,Package008_MSME,skill_mapping.csv,kmap-049,Package006 has no skill record for this requirement
REQUIRES_SKILL,Package008_MSME,skill_mapping.csv,kmap-051,Package006 has no skill record for this requirement
EXPORTS_TO,Package005_Agriculture,export_opportunities.csv,eo-005,crop_product 'Tea (Orthodox/CTC)' does not name a registered crop entity
EXPORTS_TO,Package005_Agriculture,export_opportunities.csv,eo-006,crop_product 'Coffee' does not name a registered crop entity
EXPORTS_TO,Package005_Agriculture,export_opportunities.csv,eo-008,"crop_product 'Seafood (Fish, Shrimp)' does not name a registered crop entity"
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,d9a71141-d74a-4bca-8092-53f32af09bad,related_skill_names entry 'Vocational Training' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,d9a71141-d74a-4bca-8092-53f32af09bad,related_skill_names entry 'Employability Skills' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,d9a71141-d74a-4bca-8092-53f32af09bad,related_skill_names entry 'Sector-Specific Trade Skills' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,182f9a8d-758a-4e6e-8c28-b44442d24331,related_skill_names entry 'Prior Learning Assessment' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,182f9a8d-758a-4e6e-8c28-b44442d24331,related_skill_names entry 'Sector-Specific Vocational Skills' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,6ba3c520-060b-41fa-9c35-b54f4df40ae0,related_skill_names entry 'Two-Wheeler Servicing' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,6ba3c520-060b-41fa-9c35-b54f4df40ae0,related_skill_names entry 'Three-Wheeler Servicing' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,6ba3c520-060b-41fa-9c35-b54f4df40ae0,related_skill_names entry 'Automotive Electrical Systems' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,6ba3c520-060b-41fa-9c35-b54f4df40ae0,related_skill_names entry 'Automotive Mechanical Repair' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,b5201694-37b0-4961-865c-023e2fef006b,related_skill_names entry 'Data Entry' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,b5201694-37b0-4961-865c-023e2fef006b,related_skill_names entry 'Typing Speed & Accuracy' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,b5201694-37b0-4961-865c-023e2fef006b,related_skill_names entry 'Basic Computer Operation' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,b5201694-37b0-4961-865c-023e2fef006b,related_skill_names entry 'MS Office Usage' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,6337652f-6862-4478-8479-18097f737347,related_skill_names entry 'Computer Hardware Repair' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,6337652f-6862-4478-8479-18097f737347,related_skill_names entry 'Peripheral Installation & Troubleshooting' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,6337652f-6862-4478-8479-18097f737347,related_skill_names entry 'Laptop Servicing' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,6337652f-6862-4478-8479-18097f737347,related_skill_names entry 'Customer-Premise Technical Support' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,7f3cf0a7-0220-4a4b-966c-1f31a34a797c,related_skill_names entry 'CNC Turning Machine Operation' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,7f3cf0a7-0220-4a4b-966c-1f31a34a797c,related_skill_names entry 'Metal Machining' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,7f3cf0a7-0220-4a4b-966c-1f31a34a797c,related_skill_names entry 'Tooling & Workholding Setup' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,7f3cf0a7-0220-4a4b-966c-1f31a34a797c,related_skill_names entry 'Quality Inspection of Machined Parts' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
CERTIFIED_BY,Package006_Skills_and_Training,certifications.csv,30a9dd82-2b36-4cf9-ab2d-6e19d4b0e80b,related_skill_names entry 'Computer Fundamentals' is not a registered Skill: Package006 certifications use descriptive skill labels rather than the canonical skill_name vocabulary in its own skills.csv
