centre_id,centre_name,centre_type,district_id,district_name,address_or_location_note,skills_or_trades_offered,affiliation,official_website,data_source,source_url,collection_date,confidence_score,verification_status,notes
3c5a26f0-22e6-461d-97d2-d6ab5f39503c,"Government Industrial Training Institute, Mallepally",Government ITI,3047ff5d-7947-489e-9b85-74ba0197be66,Hyderabad,"10-2-247/248, Mallepally, Vijayanagar Colony, Asifnagar Mandal, Hyderabad, Telangana",Carpenter; Computer Operator and Programming Assistant (COPA); Draughtsman (Civil); Electrician; Electronics Mechanic; Fitter; Foundryman; Instrument Mechanic; Machinist; Mechanic (Motor Vehicle); Mechanic (Refrigeration and Air-Conditioning),"National Council for Vocational Training (NCVT) framework; Directorate of Employment & Training, Government of Telangana",https://iti.telangana.gov.in/,"WebSearch aggregation: iti.directory listing and DGE (Directorate General of Employment, Govt. of India) district employment exchange node",https://dge.gov.in/dge/node/10110,2026-07-24,68,VST-NEEDS_REVIEW,"[official_website]: state ITI admissions portal cited as institutional affiliation site, not this centre's own dedicated page | [address_or_location_note]: street address per iti.directory listing, not independently confirmed via direct fetch of a .gov.in source (WebFetch to .gov.in blocked in this environment) | Recommend cross-check against Annexure-I ITI list PDF on iti.telangana.gov.in."
67f6c42f-77ef-4029-99b9-f83946b1bf15,"Government Polytechnic for Women, Secunderabad",Government Polytechnic,3047ff5d-7947-489e-9b85-74ba0197be66,Hyderabad,"East Nehru Nagar, East Marredpally, Secunderabad, Hyderabad, Telangana",Diploma: Civil Engineering; Computer Science Engineering; Electronics & Communication Engineering; Electrical Engineering,"State Board of Technical Education and Training (SBTET), Telangana",PENDING_VERIFICATION,"WebSearch aggregation: dte.telangana.gov.in college-information listing snippet (id=628), Shiksha, Careers360",https://dte.telangana.gov.in/collegeInformation?id=628,2026-07-24,64,VST-NEEDS_REVIEW,[official_website]: no dedicated institutional domain (distinct from dte.telangana.gov.in listing) surfaced in search results | [district_name]: Secunderabad falls within Greater Hyderabad Municipal Corporation limits and is treated here as Hyderabad district; this is an administrative simplification worth downstream confirmation.
1cb31623-0482-4357-9450-f5f3a3e5183e,"Government Industrial Training Institute for Girls, Karimnagar",Government ITI,086394be-1e67-4761-a069-e9d2dd6f7bd0,Karimnagar,"Karimnagar (Post), Karimnagar, Telangana",Computer Operator and Programming Assistant (COPA); Draughtsman (Civil); Draughtsman (Mechanical); Dress Making; Electrician; Electronics Mechanic; Secretarial Practice (English); Stenographer & Secretarial Assistant (English); Welder,"National Council for Vocational Training (NCVT) framework; Directorate of Employment & Training, Government of Telangana",PENDING_VERIFICATION,WebSearch aggregation: iti.directory Karimnagar listing,https://iti.directory/karimnagar/govt-industrial-training-institute-for-girls,2026-07-24,58,VST-NEEDS_REVIEW,"[address_or_location_note]: only town-level location given in source, no street address found | [official_website]: not found in search results."
04f69797-7010-4c0a-974d-2f25815d697b,"Government Industrial Training Institute, Peddapalli",Government ITI,e17d2fa9-1dfa-4d56-83d5-9f962d6e3469,Peddapalli,"Near RTC Bus Stand, Peddapalli, Telangana",Computer Operator and Programming Assistant (COPA); Electrician; Electronics Mechanic; Fitter; Mechanic (Motor Vehicle); Mechanic Diesel; Mechanic Radio & T.V.; Turner; Welder,"National Council for Vocational Training (NCVT) framework; Directorate of Employment & Training, Government of Telangana",PENDING_VERIFICATION,WebSearch aggregation: iti.directory Karimnagar-region listing (institute located in Peddapalli town),https://iti.directory/telangana/karimnagar,2026-07-24,56,VST-NEEDS_REVIEW,[district_id/district_name]: source listing groups this centre under the pre-2016 Karimnagar district directory; Peddapalli became a separate district in 2016 and this centre is mapped to Peddapalli district accordingly | [official_website]: not found.
f83887b3-d0ba-49dd-b647-03fbb416e841,"Government Industrial Training Institute (Boys), Shivajinagar, Nizamabad",Government ITI,b6fb561d-e551-4b7a-b15b-6f81e5a3ec20,Nizamabad,"Geetha Marg, Shivaji Nagar, Nizamabad - 503001, Telangana",PENDING_VERIFICATION,"National Council for Vocational Training (NCVT) framework; Directorate of Employment & Training, Government of Telangana",PENDING_VERIFICATION,"WebSearch aggregation: DGE (Directorate General of Employment, Govt. of India) district employment exchange node; iti.telangana.gov.in Annexure-I ITI list (surfaced in search, not directly fetched)",https://dge.gov.in/dge/node/10125,2026-07-24,66,VST-NEEDS_REVIEW,"[skills_or_trades_offered]: specific trade list not clearly surfaced in search results for this exact campus (multiple Nizamabad ITI campuses exist - Old and New) | [official_website]: a third-party-looking domain (itibnzb.com) was mentioned in one aggregator result but could not be independently confirmed as the institute's own official site, so left pending."
4d608b36-d06c-4744-9aeb-8474d7cb329d,"SynchroServe Pradhan Mantri Kaushal Kendra (PMKK), Nizamabad",Pradhan Mantri Kaushal Kendra (PMKK),b6fb561d-e551-4b7a-b15b-6f81e5a3ec20,Nizamabad,"Door No. 1-12-123/19, Opposite Yendala Towers, Vinayak Nagar, Nizamabad, Telangana 503001",Multi-sector short-term skill training aligned to National Skill Qualification Framework (NSQF); exact trade list not specified in source,Ministry of Skill Development & Entrepreneurship (MSDE) / National Skill Development Corporation (NSDC) PMKK scheme; operated by private training partner SynchroServe,PENDING_VERIFICATION,WebSearch aggregation: britishschooloflanguages.com and Justdial business listings referencing this PMKK,https://www.britishschooloflanguages.com/synchroserve-pradhan-mantri-kaushal-kendra-pmkk-nizamabad,2026-07-24,52,VST-NEEDS_REVIEW,"[data quality]: sourced from third-party training-directory/business-listing pages rather than the official NSDC PMKK locator (nsdcindia.org/find-nsdc-training-centre-pmkk), which could not be directly fetched in this session; downstream verification against the NSDC PMKK locator is recommended | [official_website]: not found."
1af3a7f8-cd3a-4b90-bbb5-9cf349287fdd,"Government Industrial Training Institute, Khammam",Government ITI,be21fb05-1905-4012-b551-90e8d2d8eddb,Khammam,"Tekulapalli, Beside District Mahila Pragnam, Khammam - 507002, Telangana",PENDING_VERIFICATION,"National Council for Vocational Training (NCVT) framework; Directorate of Employment & Training, Government of Telangana",PENDING_VERIFICATION,"WebSearch aggregation: DGE (Directorate General of Employment, Govt. of India) district employment exchange node; Justdial listing",https://dge.gov.in/dge/node/10136,2026-07-24,64,VST-NEEDS_REVIEW,[skills_or_trades_offered]: specific trade list not clearly surfaced for this exact campus in search results (general district-level trades mentioned include Fitter and Electrician) | [official_website]: not found.
5963ef5b-6998-48e4-ad8a-5f89f4d01161,"Government Industrial Training Institute, Kothagudem",Government ITI,71ae6871-0548-4995-8bdc-82ffb8894157,Bhadradri Kothagudem,"Kothagudem, Bhadradri Kothagudem district, Telangana",PENDING_VERIFICATION,"National Council for Vocational Training (NCVT) framework; Directorate of Employment & Training, Government of Telangana",PENDING_VERIFICATION,WebSearch aggregation: iti.directory Khammam-region listing (institute located in Kothagudem town),https://iti.directory/khammam/govt-industrial-training-institute-kothagudem,2026-07-24,54,VST-NEEDS_REVIEW,[district_id/district_name]: source directory groups this centre under the pre-2016 Khammam district listing; Bhadradri Kothagudem became a separate district in 2016 and this centre is mapped accordingly | [address_or_location_note] and [skills_or_trades_offered]: no further detail surfaced | [official_website]: not found.
4b024bd4-4378-4463-b2db-f41205e8a5e8,"Government Polytechnic, Warangal",Government Polytechnic,479e0ee3-c2bf-404c-b3fa-f3bc106aff50,Warangal,"MGM Circle (near Khammam Road), Warangal, Telangana",Diploma: Computer Engineering; Civil Engineering; Mechanical Engineering; Electronics and Communication Engineering; Electrical and Electronics Engineering,"State Board of Technical Education and Training (SBTET), Telangana",PENDING_VERIFICATION,"WebSearch aggregation: Shikshan.org, Careers360, Collegedunia listings",https://www.careers360.com/colleges/government-polytechnic-warangal,2026-07-24,60,VST-NEEDS_REVIEW,[founding year noted in sources]: institution reported as founded in 1955 (under the then-united Andhra Pradesh) - not independently corroborated with a primary source in this pass | [official_website]: not found | [district_id/district_name]: Warangal city today spans Warangal and Hanumakonda districts (both post-2019 splits); mapped here to Warangal district pending precise campus-location confirmation.
8934319f-e67b-4485-b5a0-2fda414522b6,"Government Industrial Training Institute (B), Nalgonda",Government ITI,0cb70c34-070b-4d0b-904a-562214df7d76,Nalgonda,"B.T.S. Road / M.L.G. Road, Nalgonda, Telangana",Draughtsman (Civil); Electrician; Fitter; Machinist; Mechanic Diesel; Turner; Welder,"National Council for Vocational Training (NCVT) framework; Directorate of Employment & Training, Government of Telangana",PENDING_VERIFICATION,"WebSearch aggregation: iti.directory Nalgonda listing; DGE (Directorate General of Employment, Govt. of India) district employment exchange node for the adjoining Govt. ITI (Girls) campus",https://dge.gov.in/dge/node/10116,2026-07-24,62,VST-NEEDS_REVIEW,[official_website]: not found.
